undefined undefined undefined
00 1373 0
000 188 0
000 370 0
000 699 0
000 920 0
071182 330 0
10 1414 0
10 252 0
10 370 0
10 476 0
10 609 0
10 690 0
10 721 0
10 864 0
100 126 0
100 346 0
100 441 0
100 502 0
100 649 0
100 896 0
100 948 0
11 252 0
11 505 0
11 702 0
11 719 0
111 472 0
112 128 0
112 764 0
117 580 0
12 1107 0
12 1108 0
12 155 0
12 188 0
12 543 0
12 64 0
12k 847 0
13 1285 0
13 505 0
13 686 0
13 929 0
13 933 0
130 902 0
132 1195 0
133 1230 0
135 868 0
14 579 0
14 621 0
14 719 0
140 497 0
1463 1072 0
148 1150 0
14th 545 0
15 1027 0
15 1414 0
15 61 0
153 126 0
154 1230 0
156 128 0
15th 545 0
16 329 0
16 720 0
16 764 0
16 867 0
1608 1424 0
1665 370 0
167 875 0
17 353 0
17 365 0
17 609 0
17 719 0
175 440 0
178 128 0
18 196 0
18 353 0
1836 167 0
1841 19 0
185 1113 0
1866 1264 0
1869 1264 0
1871 1264 0
1873 261 0
1874 1264 0
1876 0 0
1876 170 0
1876 19 0
1876 462 0
1893 170 0
19 1150 0
19 365 0
19 743 0
1900 170 0
1905 972 0
1907 892 0
1915 170 0
1916 1004 0
1916 892 0
1918 170 0
1919 170 0
1921 1379 0
1927 197 0
1928 1181 0
1930 390 0
1930 831 0
1933 1181 0
1935 1068 0
1937 972 0
1938 370 0
1938 580 0
1938 820 0
1938 927 0
1939 1004 0
194 550 0
1940 430 0
1940 93 0
1941 412 0
1947 1031 0
1948 1181 0
1948 250 0
1948 588 0
1948 589 0
1950 1049 0
1950 252 0
1950 734 0
1950 746 0
1950 794 0
1950 820 0
1950 965 0
1950 969 0
1951 1214 0
1951 194 0
1952 908 0
1953 1216 0
1953 1360 0
1954 1186 0
1954 1216 0
1955 1089 0
1955 1230 0
1955 794 0
1956 18 0
1956 370 0
1956 4 0
1956 944 0
1957 908 0
1957 972 0
1958 17 0
1958 472 0
1958 588 0
1958 589 0
1958 986 0
1958 987 0
1959 1031 0
1959 1433 0
1959 1453 0
1959 618 0
1960 1055 0
1960 1205 0
1960 136 0
1960 1400 0
1960 252 0
1960 3 0
1960 435 0
1960 728 0
1960 767 0
1960 790 0
1960 792 0
1960 820 0
1960 929 0
1960 96 0
1961 1033 0
1961 112 0
1961 1434 0
1961 180 0
1961 394 0
1961 669 0
1961 918 0
1961 995 0
1961b 17 0
1962 1331 0
1962 194 0
1962 370 0
1962 666 0
1963 1050 0
1963 1081 0
1963 112 0
1963 131 0
1963 136 0
1963 234 0
1963 398 0
1963 460 0
1963 549 0
1963 559 0
1963 774 0
1963 978 0
1964 112 0
1964 1187 0
1964 1326 0
1964 167 0
1964 169 0
1964 268 0
1964 398 0
1964 451 0
1964 671 0
1964 775 0
1964 781 0
1964 782 0
1964 843 0
1964 978 0
1965 1089 0
1965 110 0
1965 112 0
1965 125 0
1965 1285 0
1965 1424 0
1965 270 0
1965 271 0
1965 410 0
1965 703 0
1965 908 0
1965 977 0
1965 978 0
1966 1033 0
1966 1207 0
1966 1346 0
1966 1437 0
1966 310 0
1966 439 0
1967 1134 0
1967 162 0
1967 163 0
1967 165 0
1967 166 0
1967 238 0
1967 240 0
1967 381 0
1967 543 0
1967 686 0
1967 74 0
1967 901 0
1967a 398 0
1968 1024 0
1968 12 0
1968 1354 0
1968 152 0
1968 155 0
1968 170 0
1968 249 0
1968 294 0
1968 366 0
1968 439 0
1968 494 0
1968 543 0
1968 582 0
1968 588 0
1968 589 0
1968 686 0
1968 820 0
1968 836 0
1968 864 0
1969 1051 0
1969 1054 0
1969 1240 0
1969 1392 0
1969 1434 0
1969 161 0
1969 163 0
1969 229 0
1969 242 0
1969 249 0
1969 283 0
1969 302 0
1969 350 0
1969 366 0
1969 430 0
1969 439 0
1969 621 0
1969 686 0
1969 818 0
1969 819 0
1969 820 0
1969 929 0
1969 995 0
1970 125 0
1970 1436 0
1970 196 0
1970 242 0
1970 252 0
1970 405 0
1970 579 0
1970 597 0
1970 621 0
1970 647 0
1970 820 0
1970 831 0
1970 843 0
1970 908 0
1970 948 0
1971 0 0
1971 1214 0
1971 1228 0
1971 126 0
1971 1334 0
1971 1354 0
1971 144 0
1971 17 0
1971 300 0
1971 365 0
1971 439 0
1971 545 0
1971 616 0
1971 622 0
1971 898 0
1971 918 0
1971 996 0
1971 997 0
1972 11 0
1972 1228 0
1972 1298 0
1972 1363 0
1972 1395 0
1972 224 0
1972 302 0
1972 550 0
1972 700 0
1973 11 0
1973 189 0
1973 190 0
1973 829 0
1973 830 0
1973 877 0
1975 740 0
1975 898 0
1976 144 0
1976 462 0
1976 700 0
1985 452 0
20 155 0
20 490 0
20 581 0
20 61 0
20 929 0
200 440 0
2000 23 0
2000 24 0
21 194 0
21 597 0
21 621 0
21 719 0
21 734 0
21 929 0
2104 405 0
212 775 0
220 580 0
23 597 0
23 609 0
24 1417 0
24 742 0
245 1150 0
24th 898 0
25 1089 0
25 1123 0
25 189 0
25 190 0
25 581 0
250 1373 0
250 399 0
250 885 0
26 877 0
267 1400 0
267 3 0
27 579 0
27 719 0
27 929 0
28 1089 0
2D 580 0
2d 908 0
2x 784 0
2x8 746 0
30 183 0
30 249 0
30 310 0
30 699 0
30 721 0
30 75 0
30 76 0
30 851 0
31 283 0
343 580 0
348 790 0
35 690 0
35 775 0
357 476 0
36 660 0
360 196 0
360 772 0
360 773 0
360 851 0
370 1072 0
38 734 0
38 957 0
39 128 0
39 734 0
3rd 11 0
3rd 1142 0
3x 1414 0
40 772 0
40 773 0
40 866 0
40 980 0
400 550 0
400 580 0
400 686 0
400 996 0
400 997 0
4020 55 0
4020 56 0
41 1285 0
419 1285 0
42 1193 0
42 412 0
42 585 0
43 1193 0
43 728 0
43 866 0
431 185 0
431 186 0
431 187 0
45 734 0
450 194 0
46 585 0
46 872 0
461 194 0
47 1096 0
47 1373 0
47 585 0
47 742 0
47 980 0
48 621 0
48 719 0
48 856 0
49 742 0
50 1229 0
50 1418 0
50 15 0
50 194 0
50 703 0
50 807 0
50 808 0
500 764 0
500 920 0
500 996 0
500 997 0
5000 672 0
5013 330 0
52 1096 0
529 871 0
53 1090 0
53 585 0
54 585 0
542 155 0
56 1089 0
57c 871 0
58 224 0
58 728 0
59 476 0
5x 511 0
5x 746 0
60 194 0
60 629 0
608 185 0
608 186 0
608 187 0
62 476 0
64 543 0
64 549 0
66 1089 0
669204 12 0
67 850 0
68 144 0
69 366 0
6B 1001 0
6C 1001 0
70 1123 0
70 629 0
71828 591 0
72 579 0
72 742 0
723 920 0
73 585 0
73 601 0
75 1450 0
75 189 0
75 190 0
75 690 0
766 44 0
77 472 0
78 1194 0
78 402 0
79 126 0
79 728 0
79 833 0
80 1450 0
80 619 0
80 75 0
80 76 0
800 549 0
82 1264 0
82 580 0
83 742 0
83 889 0
84 289 0
85 1123 0
85 252 0
85 728 0
857 870 0
86 289 0
86 764 0
87 1054 0
87 580 0
87 633 0
870 44 0
875 1193 0
88 75 0
88 76 0
90 1351 0
91 719 0
92 889 0
928 948 0
93 120 0
93 189 0
93 190 0
95 601 0
97 1366 0
97 727 0
98 728 0
98 850 0
99 580 0
99 867 0
9th 1151 0
A 1004 0
A 1027 0
A 1028 0
A 1039 0
A 105 0
A 106 0
A 1065 0
A 107 0
A 1108 0
A 1119 0
A 1124 0
A 1142 0
A 1146 0
A 1154 0
A 1171 0
A 1172 0
A 1173 0
A 1179 0
A 1198 0
A 1225 0
A 1232 0
A 1366 0
A 1371 0
A 1383 0
A 1389 0
A 1390 0
A 1393 0
A 191 0
A 210 0
A 224 0
A 225 0
A 226 0
A 227 0
A 228 0
A 232 0
A 240 0
A 245 0
A 246 0
A 27 0
A 290 0
A 309 0
A 317 0
A 318 0
A 325 0
A 342 0
A 347 0
A 387 0
A 393 0
A 4 0
A 403 0
A 418 0
A 420 0
A 423 0
A 444 0
A 446 0
A 45 0
A 473 0
A 484 0
A 505 0
A 506 0
A 514 0
A 517 0
A 518 0
A 526 0
A 528 0
A 560 0
A 574 0
A 575 0
A 607 0
A 608 0
A 61 0
A 614 0
A 615 0
A 629 0
A 63 0
A 630 0
A 64 0
A 642 0
A 643 0
A 648 0
A 658 0
A 659 0
A 666 0
A 669 0
A 677 0
A 692 0
A 702 0
A 705 0
A 71 0
A 719 0
A 742 0
A 744 0
A 745 0
A 755 0
A 757 0
A 758 0
A 764 0
A 765 0
A 772 0
A 773 0
A 79 0
A 80 0
A 802 0
A 809 0
A 810 0
A 811 0
A 812 0
A 821 0
A 827 0
A 832 0
A 844 0
A 847 0
A 852 0
A 86 0
A 865 0
A 868 0
A 888 0
A 944 0
A 976 0
AD 12 0
Ad 877 0
Am 1356 0
An 1134 0
An 1192 0
An 1437 0
An 158 0
An 169 0
An 184 0
An 185 0
An 186 0
An 187 0
An 287 0
An 294 0
An 298 0
An 320 0
An 447 0
An 486 0
An 50 0
An 51 0
An 552 0
An 585 0
An 650 0
An 653 0
An 724 0
An 728 0
An 861 0
An 866 0
An 893 0
An 956 0
An 960 0
An 961 0
An 988 0
An 989 0
As 1392 0
As 171 0
B 1008 0
B 1065 0
B 1089 0
B 1252 0
B 232 0
B 518 0
B 764 0
BA 163 0
BA 732 0
C 1065 0
C 1073 0
C 1089 0
C 1181 0
C 1243 0
C 150 0
C 157 0
C 232 0
C 403 0
C 580 0
C 591 0
C 777 0
C 778 0
C 825 0
C 908 0
CA 1230 0
CA 252 0
CA 519 0
CA 676 0
CC 725 0
CC 726 0
CT 1361 0
CT 149 0
CT 725 0
CT 726 0
Co 25 0
Co 631 0
Co 809 0
Co 810 0
D 1039 0
D 1051 0
D 1073 0
D 1095 0
D 1109 0
D 1173 0
D 1174 0
D 1406 0
D 1417 0
D 150 0
D 232 0
D 338 0
D 424 0
D 425 0
D 426 0
D 427 0
D 476 0
D 518 0
D 580 0
D 825 0
DC 1215 0
DC 270 0
DC 271 0
DC 274 0
DI 242 0
DK 1073 0
DK 1074 0
Dr 1024 0
Dr 1060 0
Dr 1065 0
Dr 1206 0
Dr 1230 0
Dr 1443 0
Dr 155 0
Dr 168 0
Dr 171 0
Dr 180 0
Dr 360 0
Dr 469 0
Du 669 0
E 1243 0
E 1259 0
E 1368 0
E 232 0
E 234 0
E 242 0
E 329 0
E 748 0
Ed 580 0
Ei 579 0
Ei 621 0
F 1377 0
F 234 0
F 580 0
F 777 0
F 778 0
G 168 0
GE 483 0
H 250 0
H 430 0
H 681 0
H 910 0
I 1312 0
I 152 0
I 184 0
I 248 0
I 249 0
I 431 0
I 438 0
I 577 0
I 648 0
I 67 0
I 708 0
I 709 0
I 744 0
I 75 0
I 76 0
I 784 0
IC 686 0
IC 730 0
II 1041 0
II 1043 0
II 1056 0
II 1076 0
II 1201 0
II 1273 0
II 152 0
II 177 0
II 185 0
II 186 0
II 187 0
II 248 0
II 249 0
II 381 0
II 41 0
