Query_ID Precision Total_Relevant_Document
2 0.024390243902439025 492
1 0.036585365853658534 492
3 0.04878048780487805 492
4 0.024390243902439025 492
5 0.036585365853658534 492
6 0.024390243902439025 492
7 0.04878048780487805 492
8 0.012195121951219513 492
9 0.024390243902439025 492
10 0.06097560975609756 492
11 0.04878048780487805 492
12 0.06097560975609756 492
13 0.07317073170731707 492
14 0.024390243902439025 492
15 0.07317073170731707 492
16 0.036585365853658534 492
17 0.024390243902439025 492
18 0.036585365853658534 492
19 0.06607929515418502 454
20 0.0410958904109589 438
21 0.06097560975609756 492
22 0.08571428571428572 420
23 0.013544018058690745 443
24 0.12356979405034325 437
25 0.04072398190045249 442
26 0.013452914798206279 446
27 0.42950108459869846 461
28 0.04878048780487805 492
30 0.12558139534883722 430
31 0.14965986394557823 441
32 0.02564102564102564 468
33 0.04878048780487805 492
34 0.08089887640449438 445
35 0.11214953271028037 428
29 0.013761467889908258 436
Query_ID Precision Total_Relevant_Document
1 0.036585365853658534 574
2 0.024390243902439025 574
3 0.04878048780487805 574
4 0.024390243902439025 574
5 0.036585365853658534 574
6 0.024390243902439025 574
7 0.04878048780487805 574
8 0.012195121951219513 574
9 0.024390243902439025 574
10 0.06097560975609756 574
11 0.04878048780487805 574
12 0.06097560975609756 574
13 0.07317073170731707 574
14 0.024390243902439025 574
15 0.07317073170731707 574
16 0.036585365853658534 574
17 0.024390243902439025 574
18 0.036585365853658534 574
19 0.06529850746268656 536
20 0.04038461538461539 520
21 0.06097560975609756 574
22 0.08366533864541832 502
23 0.013333333333333334 525
24 0.12138728323699421 519
25 0.04007633587786259 524
26 0.013257575757575758 528
27 0.425414364640884 543
28 0.04878048780487805 574
29 0.013513513513513514 518
30 0.123046875 512
31 0.14722753346080306 523
32 0.025454545454545455 550
33 0.04878048780487805 574
34 0.07969639468690702 527
35 0.10980392156862745 510
